event_type,event_place,event_time
Arts & Crafts,1 Eton Place,11:00
Arts & Crafts,1 Eton Place,14:00
Arts & Crafts,1 Eton Place,10:00
Best for Kids,1 Eton Place,10:30
Best for Kids,1 Eton Place,13:00
Fitness,1 Eton Place,12:00
Fitness,1 Eton Place,07:30
Fitness,1 Eton Place,08:00
Nature,1 Eton Place,13:00
Nature,10th Avenue Entrance,10:00
Nature,10th Street Walking Bridge,11:00
Fitness,110th Street and Manhattan Avenue,07:30
Fitness,110th Street and Manhattan Avenue,07:30
Fitness,110th Street and Manhattan Avenue,19:00
Fitness,110th Street and Manhattan Avenue,12:00
Fitness,110th Street and Manhattan Avenue,09:00
Fitness,110th Street and Manhattan Avenue,08:30
Fitness,110th Street and Manhattan Avenue,10:00
Fitness,110th Street and Manhattan Avenue,07:30
Fitness,110th Street and Manhattan Avenue,09:00
Fitness,110th Street and Manhattan Avenue,08:30
Fitness,110th Street and Manhattan Avenue,11:00
Fitness,110th Street and Manhattan Avenue,10:00
Fitness,110th Street and Manhattan Avenue,09:00
Fitness,110th Street and Manhattan Avenue,09:00
Fitness,110th Street and Manhattan Avenue,10:00
Fitness,110th Street and Manhattan Avenue,10:00
Fitness,110th Street and Manhattan Avenue,19:00
Fitness,110th Street and Manhattan Avenue,19:00
Fitness,110th Street and Manhattan Avenue,09:00
Fitness,110th Street and Manhattan Avenue,19:00
Fitness,110th Street and Manhattan Avenue,10:00
Fitness,110th Street and Manhattan Avenue,09:00
Fitness,110th Street and Manhattan Avenue,10:00
Fitness,110th Street and Manhattan Avenue,09:00
Fitness,110th Street and Manhattan Avenue,08:30
Fitness,110th Street and Manhattan Avenue,09:00
Fitness,110th Street and Manhattan Avenue,09:00
Fitness,110th Street and Manhattan Avenue,19:30
Fitness,110th Street and Manhattan Avenue,18:00
Fitness,110th Street and Manhattan Avenue,16:00
Nature,110th Street and Morningside Drive,10:00
Nature,110th Street and Morningside Drive,13:00
Fitness,111th Street and 53rd Avenue,09:30
Fitness,111th Street and 53rd Avenue,09:30
Fitness,111th Street and 53rd Avenue,09:00
Fitness,111th Street and 53rd Avenue,13:00
Fitness,111th Street and 53rd Avenue,08:00
Fitness,111th Street and 53rd Avenue,19:00
Best for Kids,111th Street and 53rd Avenue,10:00
Accessible,111th Street and 53rd Avenue,11:00
Accessible,111th Street Parking Lot,15:00
Accessible,111th Street Parking Lot,18:30
Best for Kids,111th Street Parking Lot,10:30
Education,1125 Bay Street,14:00
Fitness,112th Street and Manhattan Avenue,10:00
Fitness,112th Street and Manhattan Avenue,10:30
Fitness,112th Street and Manhattan Avenue,11:00
Fitness,112th Street and Manhattan Avenue,09:00
Fitness,112th Street and Manhattan Avenue,19:00
Fitness,112th Street and Manhattan Avenue,09:00
Fitness,112th Street and Manhattan Avenue,09:00
Fitness,112th Street and Manhattan Avenue,19:00
Fitness,112th Street and Manhattan Avenue,07:30
Fitness,112th Street and Manhattan Avenue,09:00
Fitness,112th Street and Manhattan Avenue,18:00
Fitness,112th Street and Manhattan Avenue,10:00
Fitness,112th Street and Manhattan Avenue,09:00
Fitness,112th Street and Manhattan Avenue,10:00
Fitness,114 Street and Morningside Drive,19:30
Education,116 Street and Riverside Drive,09:00
Accessible,123rd Street Park House,10:00
Accessible,123rd Street Park House,14:00
Accessible,123rd Street Park House,11:00
Accessible,123rd Street Park House,19:00
Accessible,123rd Street Park House,09:00
Accessible,123rd Street Park House,10:00
Accessible,123rd Street Park House,10:00
Accessible,123rd Street Park House,14:00
Accessible,123rd Street Park House,20:45
Accessible,123rd Street Park House,16:00
Accessible,123rd Street Park House,17:00
Accessible,123rd Street Park House,20:30
Accessible,124th Street and Fifth Avenue,15:00
Accessible,125th Street and Marginal Street,07:00
